................................                                         [100%]
============================= slowest 25 durations =============================
22.37s call     Tests/UI/test_component_pattern_governance.py::test_canonical_classes_defined_only_in_owning_sheet
18.28s call     Tests/UI/test_component_pattern_governance.py::test_python_style_ratchet
4.96s call     Tests/UI/test_component_pattern_governance.py::test_deprecated_names_ratchet_down
3.43s call     Tests/UI/test_design_token_governance.py::test_section_header_preserves_global_and_stats_computed_geometry
2.79s call     Tests/UI/test_design_token_governance.py::test_new_sheets_must_use_spacing_tokens
2.69s call     Tests/UI/test_design_token_governance.py::test_active_css_extension_is_in_hex_floor
2.67s call     Tests/UI/test_css_bundle_sync_guard.py::test_committed_bundle_reproduces_from_sources
2.24s call     Tests/UI/test_design_token_governance.py::test_hex_ratchet_ignores_comments
2.21s call     Tests/UI/test_design_token_governance.py::test_documented_design_vocabulary_is_available
2.13s call     Tests/UI/test_design_token_governance.py::test_hex_literals_are_ratcheted_outside_token_definitions
1.99s call     Tests/UI/test_design_token_governance.py::test_defined_tokens_have_no_orphans_in_catalog
1.87s call     Tests/UI/test_design_token_governance.py::test_all_referenced_ds_tokens_are_defined
1.83s call     Tests/UI/test_component_pattern_governance.py::test_canonical_owning_sheets_are_bundled
1.66s call     Tests/UI/test_component_pattern_governance.py::test_no_new_local_ds_fallbacks
1.53s call     Tests/UI/test_component_pattern_governance.py::test_catalog_and_gallery_sync
1.53s call     Tests/UI/test_css_bundle_sync_guard.py::test_generated_widget_and_screen_sheets_end_with_one_newline
1.48s call     Tests/UI/test_component_pattern_governance.py::test_dimension_floor_and_pin_reject_every_numeric_slot[padding: $ds-space-1 0 0 0;]
1.48s call     Tests/UI/test_component_pattern_governance.py::test_dimension_floor_and_pin_reject_every_numeric_slot[width: -1.5;]
1.46s call     Tests/UI/test_component_pattern_governance.py::test_dimension_literal_ratchet
1.46s call     Tests/UI/test_component_pattern_governance.py::test_dimension_floor_and_pin_reject_every_numeric_slot[padding: $ds-space-1 .5;]
1.45s call     Tests/UI/test_component_pattern_governance.py::test_dimension_floor_and_pin_reject_every_numeric_slot[height: +.25;]
1.45s call     Tests/UI/test_component_pattern_governance.py::test_sheet_size_ceiling
1.43s call     Tests/UI/test_component_pattern_governance.py::test_ratchet_regexes_match_pin_script
1.43s call     Tests/UI/test_css_bundle_sync_guard.py::test_generated_widget_and_screen_sheets_have_no_trailing_whitespace
1.42s call     Tests/UI/test_component_pattern_governance.py::test_dimension_floor_and_pin_reject_every_numeric_slot[margin: $ds-space-0 -2;]
32 passed in 98.79s (0:01:38)
