........................................................................ [ 81%]
................                                                         [100%]
============================= slowest 25 durations =============================
18.50s call     Tests/UI/test_component_pattern_governance.py::test_canonical_classes_defined_only_in_owning_sheet
17.72s call     Tests/UI/test_component_pattern_governance.py::test_python_style_ratchet
7.01s call     Tests/UI/test_tool_profile_export_recovery.py::test_export_corrects_destination_without_repeating_review[True-suffix]
6.97s call     Tests/UI/test_tool_profile_export_recovery.py::test_export_corrects_destination_without_repeating_review[False-existing]
6.71s call     Tests/UI/test_tool_profile_export_recovery.py::test_export_corrects_destination_without_repeating_review[False-suffix]
6.67s call     Tests/UI/test_tool_profile_export_recovery.py::test_export_corrects_destination_without_repeating_review[True-appeared]
6.66s call     Tests/UI/test_tool_profile_export_recovery.py::test_export_corrects_destination_without_repeating_review[False-appeared]
6.64s call     Tests/UI/test_tool_profile_export_recovery.py::test_export_corrects_destination_without_repeating_review[True-existing]
6.18s call     Tests/UI/test_tool_profile_review_lifetime.py::test_owned_import_dialogs_preserve_current_review_flow[revise]
6.04s call     Tests/UI/test_tool_profile_review_lifetime.py::test_delayed_review_cannot_outlive_its_initiating_visit[same-import]
6.01s call     Tests/UI/test_tool_profile_review_lifetime.py::test_departure_suppresses_preparation_errors_but_keeps_admitted_outcomes[uncertain-import]
5.94s call     Tests/UI/test_tool_profile_review_lifetime.py::test_departure_suppresses_preparation_errors_but_keeps_admitted_outcomes[mutation-import]
5.88s call     Tests/UI/test_tool_profile_review_lifetime.py::test_departure_suppresses_preparation_errors_but_keeps_admitted_outcomes[mutation-export]
5.73s call     Tests/UI/test_tool_profile_review_lifetime.py::test_delayed_review_cannot_outlive_its_initiating_visit[newer-export]
5.70s call     Tests/UI/test_tool_profile_review_lifetime.py::test_delayed_review_cannot_outlive_its_initiating_visit[newer-import]
5.66s call     Tests/UI/test_tool_profile_review_lifetime.py::test_delayed_review_cannot_outlive_its_initiating_visit[category-import]
5.64s call     Tests/UI/test_tool_profile_review_lifetime.py::test_delayed_review_cannot_outlive_its_initiating_visit[modal-import]
5.62s call     Tests/UI/test_tool_profile_review_lifetime.py::test_delayed_review_cannot_outlive_its_initiating_visit[return-export]
5.62s call     Tests/UI/test_tool_profile_review_lifetime.py::test_delayed_review_cannot_outlive_its_initiating_visit[same-export]
5.56s call     Tests/UI/test_tool_profile_review_lifetime.py::test_delayed_review_cannot_outlive_its_initiating_visit[return-import]
5.55s call     Tests/UI/test_tool_profile_review_lifetime.py::test_delayed_destination_capture_cannot_publish_after_departure[False]
5.52s call     Tests/UI/test_tool_profile_review_lifetime.py::test_delayed_destination_capture_cannot_publish_after_departure[True]
5.51s call     Tests/UI/test_tool_profile_review_lifetime.py::test_owned_import_dialogs_preserve_current_review_flow[accept]
5.50s call     Tests/UI/test_tool_profile_review_lifetime.py::test_departure_suppresses_preparation_errors_but_keeps_admitted_outcomes[preparation-import]
5.49s call     Tests/UI/test_tool_profile_review_lifetime.py::test_departure_suppresses_preparation_errors_but_keeps_admitted_outcomes[uncertain-export]
88 passed in 331.90s (0:05:31)
