........................................................................ [ 75%]
.......................                                                  [100%]
============================= slowest 25 durations =============================
6.28s call     Tests/UI/test_tool_profile_export_recovery.py::test_export_corrects_destination_without_repeating_review[False-appeared]
6.24s call     Tests/UI/test_tool_profile_export_recovery.py::test_export_corrects_destination_without_repeating_review[True-appeared]
6.23s call     Tests/UI/test_tool_profile_export_recovery.py::test_export_corrects_destination_without_repeating_review[False-suffix]
6.20s call     Tests/UI/test_tool_profile_export_recovery.py::test_export_corrects_destination_without_repeating_review[False-existing]
6.18s call     Tests/UI/test_tool_profile_export_recovery.py::test_export_corrects_destination_without_repeating_review[True-suffix]
6.14s call     Tests/UI/test_tool_profile_export_recovery.py::test_export_corrects_destination_without_repeating_review[True-existing]
5.67s call     Tests/UI/test_tool_profile_review_lifetime.py::test_departure_suppresses_preparation_errors_but_keeps_admitted_outcomes[uncertain-import]
5.58s call     Tests/UI/test_tool_profile_review_lifetime.py::test_delayed_review_cannot_outlive_its_initiating_visit[same-import]
5.56s call     Tests/UI/test_tool_profile_review_lifetime.py::test_departure_suppresses_preparation_errors_but_keeps_admitted_outcomes[mutation-import]
5.54s call     Tests/UI/test_tool_profile_review_lifetime.py::test_departure_suppresses_preparation_errors_but_keeps_admitted_outcomes[mutation-export]
5.51s call     Tests/UI/test_tool_profile_review_lifetime.py::test_owned_import_dialogs_preserve_current_review_flow[revise]
5.45s call     Tests/UI/test_tool_profile_write_overlap.py::test_repeat_action_keeps_admitted_write_and_truthful_outcome[import-success-other]
5.45s call     Tests/UI/test_tool_profile_review_lifetime.py::test_departure_suppresses_preparation_errors_but_keeps_admitted_outcomes[preparation-import]
5.45s call     Tests/UI/test_tool_profile_write_overlap.py::test_repeat_action_keeps_admitted_write_and_truthful_outcome[import-refused-repeat]
5.36s call     Tests/UI/test_tool_profile_review_lifetime.py::test_departure_suppresses_preparation_errors_but_keeps_admitted_outcomes[uncertain-export]
5.29s call     Tests/UI/test_tool_profile_review_lifetime.py::test_delayed_destination_capture_cannot_publish_after_departure[True]
5.21s call     Tests/UI/test_tool_profile_review_lifetime.py::test_delayed_review_cannot_outlive_its_initiating_visit[newer-import]
5.20s call     Tests/UI/test_tool_profile_write_overlap.py::test_repeat_action_keeps_admitted_write_and_truthful_outcome[remove-refused-repeat]
5.20s call     Tests/UI/test_tool_profile_write_overlap.py::test_repeat_action_keeps_admitted_write_and_truthful_outcome[export-refused-repeat]
5.19s call     Tests/UI/test_tool_profile_review_lifetime.py::test_departure_suppresses_preparation_errors_but_keeps_admitted_outcomes[preparation-export]
5.18s call     Tests/UI/test_tool_profile_review_lifetime.py::test_delayed_review_cannot_outlive_its_initiating_visit[same-export]
5.14s call     Tests/UI/test_tool_profile_write_overlap.py::test_repeat_action_keeps_admitted_write_and_truthful_outcome[remove-success-other]
5.09s call     Tests/UI/test_tool_profile_removal_outcomes.py::test_late_removal_outcome_does_not_move_newer_navigation[modal]
5.08s call     Tests/UI/test_tool_profile_removal_outcomes.py::test_removal_refusal_and_unknown_outcomes_offer_a_current_continuation[wrong_type]
5.07s call     Tests/UI/test_tool_profile_write_overlap.py::test_repeat_action_keeps_admitted_write_and_truthful_outcome[export-success-other]
95 passed in 396.57s (0:06:36)
