# Baseline census for W002: `query_one` reached after an `await` with no
# enclosing `try`, in UI/ and Widgets/. Generated by
# scripts/check_textual_worker_contract.py --write
#
# These rows are a BASELINE, not an endorsement: they were captured
# mechanically and have not been individually reviewed. Whether one of
# them can actually crash depends on whether the awaited work can remove
# the subtree, which is not statically decidable -- see TASK-32800.1 for
# one that could.
#
# Removing a row is always fine. Adding one is a deliberate act: prefer
# guarding the lookup (`query()` + `first()`, or an enclosing `try`) or
# re-checking that the widget is still mounted after the await.
#
# Rows are keyed by ENCLOSING FUNCTION, not by line number, so an edit
# elsewhere in the file does not churn the census.
#
# path::async def	unguarded lookups in it
tldw_chatbook/UI/ChatbookCreationWindow.py::on_mount	1
tldw_chatbook/UI/ChatbookExportManagementWindow.py::on_mount	3
tldw_chatbook/UI/Chunking_Lab_Modules/results_region.py::update	1
tldw_chatbook/UI/Console_Modules/provider_continuation_recovery.py::_dispatch	2
tldw_chatbook/UI/Library_Modules/library_browse_route_swap.py::_apply_library_notes_source_strip	1
tldw_chatbook/UI/Library_Modules/library_character_repair_controller.py::_apply_owned	3
tldw_chatbook/UI/Library_Modules/library_character_repair_controller.py::_refresh_owned	4
tldw_chatbook/UI/Library_Modules/library_prompts_controller.py::_refresh_library_prompt_detail	2
tldw_chatbook/UI/Library_Modules/library_prompts_controller.py::handle_library_prompt_editor_mode	4
tldw_chatbook/UI/MCP_Modules/mcp_inspector.py::_hide_advanced	1
tldw_chatbook/UI/MCP_Modules/mcp_inspector.py::_mount_test_tool_panel	1
tldw_chatbook/UI/MCP_Modules/mcp_inspector.py::_reveal_advanced	1
tldw_chatbook/UI/MCP_Modules/mcp_servers_mode.py::_rebuild_detail_toolbar	1
tldw_chatbook/UI/MCP_Modules/mcp_servers_mode.py::show_detail	3
tldw_chatbook/UI/MCP_Modules/mcp_workbench.py::_clear_tool_view	2
tldw_chatbook/UI/MCP_Modules/mcp_workbench.py::_open_audit_permission	1
tldw_chatbook/UI/MCP_Modules/mcp_workbench.py::_open_audit_tool	1
tldw_chatbook/UI/MCP_Modules/mcp_workbench.py::_prepare_mcp_recovery_review	1
tldw_chatbook/UI/MCP_Modules/mcp_workbench.py::_prepare_tool_test_preview	1
tldw_chatbook/UI/MCP_Modules/mcp_workbench.py::_record_mcp_recovery_review	2
tldw_chatbook/UI/MCP_Modules/mcp_workbench.py::_run_prepared_tool_test	1
tldw_chatbook/UI/MCP_Modules/mcp_workbench.py::_switch_source	1
tldw_chatbook/UI/MCP_Modules/mcp_workbench.py::_sync_audit_mode	1
tldw_chatbook/UI/MCP_Modules/mcp_workbench.py::_sync_children	3
tldw_chatbook/UI/MCP_Modules/mcp_workbench.py::_sync_permissions_mode	3
tldw_chatbook/UI/MCP_Modules/mcp_workbench.py::on_mcp_inspector_hub_action_requested	2
tldw_chatbook/UI/MCP_Modules/mcp_workbench.py::on_mcp_inspector_revoke_session_approval_requested	1
tldw_chatbook/UI/MCP_Modules/mcp_workbench.py::on_mcp_permissions_mode_state_cycle_requested	1
tldw_chatbook/UI/MCP_Modules/mcp_workbench.py::on_mcp_rail_scope_changed	1
tldw_chatbook/UI/MCP_Modules/mcp_workbench.py::select_tool_policy_profile	1
tldw_chatbook/UI/Outputs_Panel.py::create_output	1
tldw_chatbook/UI/Outputs_Panel.py::create_output_template	1
tldw_chatbook/UI/Outputs_Panel.py::delete_output	2
tldw_chatbook/UI/Outputs_Panel.py::update_output_template	1
tldw_chatbook/UI/Research_Workspace_Modules/add_source_modal.py::_search_catalog	4
tldw_chatbook/UI/STTS_Window.py::_import_from_conversation_worker	1
tldw_chatbook/UI/STTS_Window.py::_import_from_notes_worker	1
tldw_chatbook/UI/Screens/backup_restore_screen.py::_list_ready	4
tldw_chatbook/UI/Screens/backup_restore_screen.py::_media_ready	3
tldw_chatbook/UI/Screens/backup_restore_screen.py::_restore_ready	5
tldw_chatbook/UI/Screens/backup_restore_screen.py::_summary_ready	4
tldw_chatbook/UI/Screens/chunking_lab_screen.py::_refresh_session	15
tldw_chatbook/UI/Screens/library_screen.py::_refresh_search_rag_panel_state_widgets	2
tldw_chatbook/UI/Screens/personas_screen.py::_after_character_save	5
tldw_chatbook/UI/Screens/personas_screen.py::_after_delete	2
tldw_chatbook/UI/Screens/personas_screen.py::_after_profile_save	2
tldw_chatbook/UI/Screens/personas_screen.py::_apply_mode	3
tldw_chatbook/UI/Screens/personas_screen.py::_begin_create_actor_pack	1
tldw_chatbook/UI/Screens/personas_screen.py::_begin_create_character	1
tldw_chatbook/UI/Screens/personas_screen.py::_begin_create_profile	1
tldw_chatbook/UI/Screens/personas_screen.py::_delete_entity	6
tldw_chatbook/UI/Screens/personas_screen.py::_generate_visual_identity_assets_admitted	1
tldw_chatbook/UI/Screens/personas_screen.py::_handle_dictionary_settings_save	2
tldw_chatbook/UI/Screens/personas_screen.py::_handle_edit_requested	1
tldw_chatbook/UI/Screens/personas_screen.py::_handle_lore_enable_toggled	1
tldw_chatbook/UI/Screens/personas_screen.py::_handle_lore_settings_save	2
tldw_chatbook/UI/Screens/personas_screen.py::_handle_persona_edit_requested	1
tldw_chatbook/UI/Screens/personas_screen.py::_handle_policy_rules_changed	1
tldw_chatbook/UI/Screens/personas_screen.py::_reload_selected_dictionary_entries	1
tldw_chatbook/UI/Screens/personas_screen.py::_reload_selected_lore_entries	1
tldw_chatbook/UI/Screens/personas_screen.py::_render_dictionary_rows	1
tldw_chatbook/UI/Screens/personas_screen.py::_render_lore_rows	1
tldw_chatbook/UI/Screens/personas_screen.py::_select_character	5
tldw_chatbook/UI/Screens/personas_screen.py::_select_dictionary	3
tldw_chatbook/UI/Screens/personas_screen.py::_select_lore_entry	3
tldw_chatbook/UI/Screens/personas_screen.py::_select_profile	2
tldw_chatbook/UI/Screens/personas_screen.py::_toggle_dictionary_enabled	2
tldw_chatbook/UI/Screens/research_workspace_screen.py::_apply_catalog_state	8
tldw_chatbook/UI/Screens/research_workspace_screen.py::_download_quick_note	1
tldw_chatbook/UI/Screens/research_workspace_screen.py::_load_quick_note_after_flush	1
tldw_chatbook/UI/Screens/research_workspace_screen.py::apply	1
tldw_chatbook/UI/Screens/scheduling/schedules_workbench.py::action_move_owner	2
tldw_chatbook/UI/Screens/workflows_screen.py::_activate_issue	1
tldw_chatbook/UI/Screens/workflows_screen.py::_attach_session	1
tldw_chatbook/UI/Screens/workflows_screen.py::_recovery_dialog	1
tldw_chatbook/UI/Screens/workflows_screen.py::_render_authoring	4
tldw_chatbook/UI/Sharing_Panel.py::create_share_token	3
tldw_chatbook/UI/Sharing_Panel.py::create_workspace_share	3
tldw_chatbook/UI/Sharing_Panel.py::list_workspace_shares	1
tldw_chatbook/UI/Sharing_Panel.py::update_share	2
tldw_chatbook/UI/SiteConfigSettings.py::on_delete_config	1
tldw_chatbook/UI/Speech/speech_playground_pane.py::_run_audio_cpp_lifecycle	1
tldw_chatbook/UI/Speech/speech_profile_mixin.py::_save_current_result_as_profile	2
tldw_chatbook/UI/Speech/speech_settings_pane.py::save_preferences	1
tldw_chatbook/UI/Study_Modules/flashcards_handler.py::refresh_cards	1
tldw_chatbook/UI/Study_Modules/flashcards_handler.py::refresh_decks	1
tldw_chatbook/UI/Study_Modules/quizzes_handler.py::load_selected_attempt	1
tldw_chatbook/UI/Study_Modules/quizzes_handler.py::refresh_questions	1
tldw_chatbook/UI/Study_Modules/quizzes_handler.py::refresh_quizzes	1
tldw_chatbook/UI/Study_Modules/quizzes_handler.py::start_attempt	1
tldw_chatbook/UI/Voice_Cloning_Window.py::on_mount	1
tldw_chatbook/UI/Watchlists_Modules/briefing_preset_modal.py::on_mount	1
tldw_chatbook/UI/Watchlists_Modules/watchlists_workbench.py::_apply_effective_layout_request	2
tldw_chatbook/UI/Watchlists_Modules/watchlists_workbench.py::_reconcile_body	2
tldw_chatbook/UI/Wizards/FirstRunSetupWizard.py::_apply_password_worker	1
tldw_chatbook/UI/Wizards/FirstRunSetupWizard.py::_on_show_all_cards	1
tldw_chatbook/UI/Wizards/FirstRunSetupWizard.py::_on_show_all_themes	1
tldw_chatbook/UI/Wizards/FirstRunSetupWizard.py::_render_rows	2
tldw_chatbook/UI/Wizards/FirstRunSetupWizard.py::open_voice_api_key_settings	1
tldw_chatbook/UI/Workflows_Modules/editor.py::render_draft	8
tldw_chatbook/Widgets/Console/console_agent_history_modal.py::_read_page	4
tldw_chatbook/Widgets/Console/console_capture_policy_dialog.py::refresh_full_count	1
tldw_chatbook/Widgets/Console/console_citation_sources_modal.py::_show_rows	1
tldw_chatbook/Widgets/Console/console_citation_sources_modal.py::_show_unavailable	1
tldw_chatbook/Widgets/Console/console_conversation_inspector.py::_recover_project_instructions	1
tldw_chatbook/Widgets/Console/console_exchange_export_dialog.py::export_selected	1
tldw_chatbook/Widgets/Console/console_fork_chat_modal.py::_perform_safe_cancel	1
tldw_chatbook/Widgets/Console/console_prompt_queue_modal.py::handle_button	1
tldw_chatbook/Widgets/Console/console_prompts_browse.py::show_result	3
tldw_chatbook/Widgets/Console/console_prompts_modal.py::_mount_mode	1
tldw_chatbook/Widgets/Console/console_prompts_modal.py::_mount_recipe_editor	2
tldw_chatbook/Widgets/Console/console_prompts_modal.py::_save_editor_state	1
tldw_chatbook/Widgets/Console/console_review_notes_modal.py::_save_edit	1
tldw_chatbook/Widgets/Console/console_session_switcher_modal.py::_commit_entries	1
tldw_chatbook/Widgets/Console/console_session_switcher_modal.py::_refresh_results	1
tldw_chatbook/Widgets/Console/console_session_switcher_modal.py::_run_character_library_recovery	1
tldw_chatbook/Widgets/Console/console_settings_modal.py::_compact_context_now_worker	4
tldw_chatbook/Widgets/Console/console_settings_modal.py::_confirm_reset_all_context_memories	5
tldw_chatbook/Widgets/Console/console_settings_modal.py::_reset_current_branch_memory	5
tldw_chatbook/Widgets/Console/console_settings_modal.py::_save_thinking_history_default	1
tldw_chatbook/Widgets/Console/console_settings_modal.py::_undo_memory_reset	6
tldw_chatbook/Widgets/Console/console_workspace_files_modal.py::_render_viewer	2
tldw_chatbook/Widgets/Console/trace_export_dialog.py::_browse_flow	1
tldw_chatbook/Widgets/Console/trace_export_dialog.py::on_mount	1
tldw_chatbook/Widgets/Console/trace_export_dialog.py::select_profile	2
tldw_chatbook/Widgets/Library/library_file_notes_workspace.py::_delete_file	1
tldw_chatbook/Widgets/Library/library_file_notes_workspace.py::_handle_open_external_change	1
tldw_chatbook/Widgets/Library/library_file_notes_workspace.py::_open_path_task	1
tldw_chatbook/Widgets/Library/library_file_notes_workspace.py::_save_editor_copy	1
tldw_chatbook/Widgets/Library/library_prompts_canvas.py::sync_saved_editor_state	2
tldw_chatbook/Widgets/Persona_Widgets/buddy_character_review.py::_prepare	2
tldw_chatbook/Widgets/Persona_Widgets/buddy_character_review.py::_show_preview	2
tldw_chatbook/Widgets/Persona_Widgets/personas_inspector_pane.py::show_conversations_failure	1
tldw_chatbook/Widgets/Persona_Widgets/personas_library_pane.py::update_rows	4
tldw_chatbook/Widgets/Persona_Widgets/petdex_import_review.py::_show_preview	1
tldw_chatbook/Widgets/Prompts/prompt_block_editor.py::_reconcile_lane	2
tldw_chatbook/Widgets/Settings_Widgets/speech_tts_settings_panel.py::handle_configure_provider_changed	1
tldw_chatbook/Widgets/model_search_picker.py::load_provider	1
