# Timestamp-writer census (ADR-173 / TASK-32803.1). Every row emits a
# shape other than the canonical YYYY-MM-DDTHH:MM:SS.mmmZ. Ratchet:
# counts only shrink as TASK-32901 adopts Utils/timestamps.py.
# Regenerate with: python scripts/check_timestamp_writers.py --write
# module	symbol	kind	count
tldw_chatbook/ACP_Interop/runtime_process	ACPRuntimeProcessManager.start_session	offset_now_iso	1
tldw_chatbook/Actor_Packs/creation	ActorPackCreationService.create_persona	offset_now_iso	1
tldw_chatbook/Agents/agent_runtime	safe_utc_timestamp	strftime_iso	2
tldw_chatbook/Agents/agent_service	_now_iso	strftime_iso	1
tldw_chatbook/Agents/run_hooks	RunHooksEngine._payload	offset_now_iso	1
tldw_chatbook/Agents/run_log	_now_iso	strftime_iso	1
tldw_chatbook/Audio/voiceprint	VoiceprintStore.__init__	offset_now_iso	1
tldw_chatbook/Audio_Services_Interop/local_audio_services_service	LocalAudioServicesService.create_audio_speech	offset_now_iso	1
tldw_chatbook/Backup_Recovery/capture	_manifest_for	offset_now_iso	1
tldw_chatbook/Character_Chat/buddy_conversion	convert_buddy	offset_now_iso	1
tldw_chatbook/Character_Chat/local_character_persona_service	LocalCharacterPersonaService._now	offset_now_iso	1
tldw_chatbook/Character_Chat/local_chat_dictionary_service	LocalChatDictionaryService._now	offset_now_iso	1
tldw_chatbook/Chat/citation_legacy_migration	CitationLegacyMigrationService._record_terminal_state	offset_now_iso	2
tldw_chatbook/Chat/citation_legacy_migration	CitationLegacyMigrationService.migrate_next_batch	offset_now_iso	2
tldw_chatbook/Chat/citation_trace_repository	CitationTraceRepository._mark_owner_body_mismatch	offset_now_iso	1
tldw_chatbook/Chat/citation_trace_repository	CitationTraceRepository.acknowledge_artifact_owner_operation	offset_now_iso	1
tldw_chatbook/Chat/citation_trace_repository	CitationTraceRepository.apply_artifact_owner_operation	offset_now_iso	1
tldw_chatbook/Chat/citation_trace_repository	CitationTraceRepository.get_active_trace_for_message	offset_now_iso	1
tldw_chatbook/Chat/citation_trace_repository	CitationTraceRepository.link_cache_message_owner	offset_now_iso	1
tldw_chatbook/Chat/citation_trace_repository	CitationTraceRepository.transition_owner_for_message_update	offset_now_iso	1
tldw_chatbook/Chat/console_canvas_controller	ConsoleCanvasController._create_canvas	offset_now_iso	1
tldw_chatbook/Chat/console_canvas_controller	ConsoleCanvasController._update_canvas	offset_now_iso	1
tldw_chatbook/Chat/console_canvas_controller	ConsoleCanvasController.interactive_create_canvas	offset_now_iso	1
tldw_chatbook/Chat/console_canvas_controller	ConsoleCanvasController.interactive_rename_canvas	offset_now_iso	1
tldw_chatbook/Chat/console_canvas_controller	ConsoleCanvasController.interactive_update_canvas	offset_now_iso	1
tldw_chatbook/Chat/console_chat_controller	ConsoleChatController._automatic_memory_admission	offset_now_iso	1
tldw_chatbook/Chat/console_chat_controller	ConsoleChatController._manual_memory_admission	offset_now_iso	1
tldw_chatbook/Chat/console_chat_controller	ConsoleChatController.reset_active_context_memory	offset_now_iso	1
